X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-90.2971136,48.1781124,Thunder Bay District,2015,Brook Trout,,,Lake Scott 2 (Unofficial Name),15-7009-53394,,Fingerlings,4000,48.1781124,-90.2971136,12156
-89.9521032,48.1556183,Thunder Bay District,2015,Brook Trout,,,Lismore Lake 2 (Unofficial Name),16-2805-53376,LISMORE,Fingerlings,2000,48.1556183,-89.9521032,12157
-89.7276487,48.1045073,Thunder Bay District,2015,Brook Trout,,,Joan Lake (Unofficial Name),16-2970-53313,DEVON,Fingerlings,5000,48.1045073,-89.7276487,12158
-89.9446688,48.151436,Thunder Bay District,2015,Brook Trout,,,Hartington Lake 1 (Unofficial Name),16-2810-53371,HARTINGTON,Fingerlings,3000,48.151436,-89.9446688,12159
-89.9548939,48.142175,Thunder Bay District,2015,Brook Trout,,,Hartington Lake 2 (Unofficial Name),16-2802-53361,HARTINGTON,Fingerlings,5000,48.142175,-89.9548939,12160
-89.9105322,48.2281119,Thunder Bay District,2015,Brook Trout,,,Strange Lake 82E (Unofficial Name),16-2839-53455,STRANGE,Yearlings,300,48.2281119,-89.9105322,12161
-89.8731046,48.2423306,Thunder Bay District,2015,Brook Trout,,,Lizard Lake (Unofficial Name),16-2867-53470,LYBSTER,Yearlings,1200,48.2423306,-89.8731046,12162
-89.5851459,48.2933949,Thunder Bay District,2015,Brook Trout,,,Lake Thompson 2 (Unofficial Name),16-3083-53519,SCOBLE,Yearlings,750,48.2933949,-89.5851459,12163
-90.1379426,48.2711662,Thunder Bay District,2015,Brook Trout,,,Little Head Lake (Unofficial Name),15-7124-53502,JEAN,Fingerlings,4000,48.2711662,-90.1379426,12164
-90.2398912,48.2550614,Thunder Bay District,2015,Brook Trout,,,Sand North Lake (Unofficial Name),15-7049-53481,,Fingerlings,3000,48.2550614,-90.2398912,12165
-89.8696077,48.2397815,Thunder Bay District,2015,Brook Trout,,,Downy Lake (Unofficial Name),16-2869-53467,LYBSTER,Fingerlings,5000,48.2397815,-89.8696077,12166
-89.8958875,48.2299318,Thunder Bay District,2015,Rainbow Trout,,,Pothole Lake (Unofficial Name),16-2850-53456,LYBSTER,Yearlings,200,48.2299318,-89.8958875,12195
-89.9052884,48.2285757,Thunder Bay District,2015,Rainbow Trout,,,Strange Lake 81E (Unofficial Name),16-2843-53456,STRANGE,Yearlings,300,48.2285757,-89.9052884,12196
-90.1287975,48.19018,Thunder Bay District,2015,Splake,,,Mallard Lake 2 (Unofficial Name),15-7134-53412,HARDWICK,Yearlings,1000,48.19018,-90.1287975,12200
-89.1006209,50.2031325,Thunder Bay District,2015,Splake,,,Chimney Lake (Unofficial Name),16-3501-55631,,Yearlings,3000,50.2031325,-89.1006209,12201
-89.7148722,48.1014447,Thunder Bay District,2015,Splake,,,Gordon Lake (Unofficial Name),16-2979-53309,DEVON,Yearlings,1000,48.1014447,-89.7148722,12202
-89.5957559,49.4665514,Thunder Bay District,2015,Splake,,,Tarrison Lake B (Unofficial Name),16-3119-54823,,Yearlings,1499,49.4665514,-89.5957559,12203
-90.0736538,48.1896882,Thunder Bay District,2018,Brook Trout,,,South Castle Lake (Unofficial Name),15-7175-53413,HARDWICK,Fingerlings,10000,48.1896882,-90.0736538,12205
-90.1215904,48.1747027,Thunder Bay District,2018,Brook Trout,,,Birch Lake (Unofficial Name),15-7140-53395,HARDWICK,Fingerlings,4000,48.1747027,-90.1215904,12206
-90.2547868,48.1239747,Thunder Bay District,2018,Brook Trout,,,Forrest Lake (Unofficial Name),15-7043-53335,,Yearlings,2998,48.1239747,-90.2547868,12207
-90.2971136,48.1781124,Thunder Bay District,2018,Brook Trout,,,Lake Scott 2 (Unofficial Name),15-7009-53394,,Fingerlings,4000,48.1781124,-90.2971136,12208
-89.5726722,48.2818428,Thunder Bay District,2018,Brook Trout,,,Chub Lake (Unofficial Name),16-3092-53506,SCOBLE,Yearlings,2500,48.2818428,-89.5726722,12209
-89.7962524,48.1392638,Thunder Bay District,2018,Brook Trout,,,South Fallingsnow East Lake (Unofficial Name),16-2920-53353,DEVON,Yearlings,500,48.1392638,-89.7962524,12210
-89.4507051,48.70029,Thunder Bay District,2018,Brook Trout,,,Unnamed Lake (Unofficial Name),16-3197-53968,FOWLER,Yearlings,1000,48.70029,-89.4507051,12211
-89.8451647,48.1536743,Thunder Bay District,2018,Brook Trout,,,Devon Lake (Unofficial Name),16-2884-53371,DEVON,Fingerlings,6000,48.1536743,-89.8451647,12212
-89.7276487,48.1045073,Thunder Bay District,2018,Brook Trout,,,Joan Lake (Unofficial Name),16-2970-53313,DEVON,Fingerlings,5000,48.1045073,-89.7276487,12214
-90.2393274,48.124054,Thunder Bay District,2018,Brook Trout,,,McKecknie Lake (Unofficial Name),15-7055-53335,,Yearlings,2000,48.124054,-90.2393274,12216
-89.8696077,48.2397815,Thunder Bay District,2018,Brook Trout,,,Downy Lake (Unofficial Name),16-2869-53467,LYBSTER,Fingerlings,5000,48.2397815,-89.8696077,12218
-90.2878084,48.2418259,Thunder Bay District,2018,Brook Trout,,,Larrys Lake 4 (Unofficial Name),15-7013-53465,,Fingerlings,6000,48.2418259,-90.2878084,12220
-90.2885695,48.2379219,Thunder Bay District,2018,Brook Trout,,,Larrys Lake 3 (Unofficial Name),15-7013-53461,,Fingerlings,6000,48.2379219,-90.2885695,12223
-81.3818766,47.2707713,Timmins District,2017,Rainbow Trout,,,Margaret Lake (Unofficial Name),17-4711-52351,BEULAH,Yearlings,1049,47.2707713,-81.3818766,12224
-90.2757283,48.2497801,Thunder Bay District,2018,Brook Trout,,,Lake Lauries 1 (Unofficial Name),15-7022-53474,,Fingerlings,2000,48.2497801,-90.2757283,12226
-81.908277,47.97505,Timmins District,2017,Rainbow Trout,,,George Lake (Unofficial Name),17-4322-53137,REGAN,Yearlings,3146,47.97505,-81.908277,12227
-89.0880485,48.7375861,Thunder Bay District,2018,Brook Trout,,,Tuesday Lake (Unnamed Lake) (Unofficial Name),16-3465-54002,,Yearlings,1000,48.7375861,-89.0880485,12229
-81.6366924,47.7915272,Timmins District,2017,Rainbow Trout,,,Stetham Lake 30 (Pierre Lake) (Unofficial Name),17-4523-52931,STETHAM,Yearlings,2097,47.7915272,-81.6366924,12230
-89.7540949,48.5088823,Thunder Bay District,2018,Brook Trout,,,Bateman Lake (Unofficial Name),16-2966-53763,CONMEE,Fingerlings,7000,48.5088823,-89.7540949,12232
-81.2589882,48.0890158,Timmins District,2017,Rainbow Trout,,,English Lake 10 (Unofficial Name),17-4807-53260,ENGLISH,Yearlings,1049,48.0890158,-81.2589882,12233
-81.2415767,48.0989509,Timmins District,2017,Splake,,,English Lake 14 (Unofficial Name),17-4820-53271,ENGLISH,Yearlings,281,48.0989509,-81.2415767,12241
-81.2890062,47.9452691,Timmins District,2017,Splake,,,Semple Lake 61 (Unofficial Name),17-4784-53100,SEMPLE,Yearlings,1876,47.9452691,-81.2890062,12242
-81.3776527,47.7908714,Timmins District,2018,Aurora Trout,,,Nayowin Lake (Unofficial Name),17-4717-52929,BURROWS,Yearlings,10640,47.7908714,-81.3776527,12249
