Species,Official_Waterbody_Name,Number_of_Fish_Stocked,Latitude,Longitude
Rainbow Trout,Mississagi River,2000,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2000,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2000,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2766,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2000,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2000,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,1622,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,1622,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,1538,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2000,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2000,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2000,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2102,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2102,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2102,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,3000,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,3000,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,3607,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2200,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2425,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2425,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2200,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,1357,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2000,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2000,46.1763031,-83.0183272
Rainbow Trout,Mississagi River,2000,46.1763031,-83.0183272
Brown Trout,Irondale River,350,44.8149421,-78.6340497
Brown Trout,Irondale River,300,44.8149421,-78.6340497
Brown Trout,Irondale River,60,44.8149421,-78.6340497
Brown Trout,Irondale River,95,44.8149421,-78.6340497
Brown Trout,Irondale River,95,44.8149421,-78.6340497
Brown Trout,Irondale River,700,44.8149421,-78.6340497
Brown Trout,Irondale River,700,44.8149421,-78.6340497
Brown Trout,Irondale River,378,44.8149421,-78.6340497
Brown Trout,Irondale River,700,44.8149421,-78.6340497
Brown Trout,Irondale River,300,44.8149421,-78.6340497
Brown Trout,Irondale River,480,44.8149421,-78.6340497
Brown Trout,Irondale River,350,44.8149421,-78.6340497
Brown Trout,Irondale River,300,44.8149421,-78.6340497
Brown Trout,Irondale River,500,44.8149421,-78.6340497
Brown Trout,Irondale River,500,44.8149421,-78.6340497
Brown Trout,Irondale River,350,44.8149421,-78.6340497
Brown Trout,Irondale River,300,44.8149421,-78.6340497
Brown Trout,Irondale River,500,44.8149421,-78.6340497
Brown Trout,Irondale River,500,44.8149421,-78.6340497
Brown Trout,Grand River,750,42.8551723,-79.5778563
